,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded,Is_On_Coast,GDP,Avg_rent,Avg price,Bedrooms_per_area
210,20313967,175000,2,123,0,0,0,1,3,785,0,3,10,1,0,34715,759.0,1949,0.016260162601626018
211,20313957,245000,4,125,0,1,0,4,4,279,1,0,9,1,0,21155,1013.0,2729,0.032
212,20313954,980000,3,867,0,0,0,1,4,250,1,0,10,1,0,34715,759.0,1949,0.0034602076124567475
213,20313949,200000,4,218,1,1,0,5,2,40,1,0,8,1,0,14697,759.0,2084,0.01834862385321101
214,20313948,287000,3,123,0,0,0,5,0,449,1,0,7,1,0,7887,759.0,1985,0.024390243902439025
215,20313933,240000,2,58,1,1,0,1,4,104,1,0,7,1,0,7887,759.0,1985,0.034482758620689655
216,20313932,379000,2,84,1,1,0,3,0,44,0,3,3,0,0,98189,1000.0,2577,0.023809523809523808
217,20313919,589000,3,200,0,1,1,2,3,427,1,0,2,0,0,51731,1013.0,2841,0.015
218,20313918,989000,4,288,1,1,1,3,2,735,0,10,6,2,0,90459,1205.0,3323,0.013888888888888888
219,20313915,625000,4,250,1,1,0,5,4,521,1,0,2,0,0,51731,1013.0,2841,0.016
220,20313913,497969,3,203,0,0,0,2,3,287,1,0,5,0,0,52323,950.0,2888,0.014778325123152709
221,20313905,199000,3,165,0,0,0,1,3,39,1,0,10,1,0,34715,759.0,1949,0.01818181818181818
222,20313901,339000,3,123,1,1,0,5,4,131,1,0,8,1,0,14697,759.0,2084,0.024390243902439025
223,20313900,219900,2,74,0,0,1,2,4,592,1,0,1,1,0,36940,759.0,1618,0.02702702702702703
224,20313895,949000,4,280,1,1,1,1,4,598,1,1,3,0,0,98189,1000.0,2577,0.014285714285714285
225,20313891,599000,5,376,0,1,0,1,4,586,1,0,4,0,0,31766,,2193,0.013297872340425532
226,20313886,199000,2,155,1,1,1,1,2,228,1,0,10,1,0,34715,759.0,1949,0.012903225806451613
227,20313885,625000,4,180,1,1,0,3,4,568,1,1,2,0,0,51731,1013.0,2841,0.022222222222222223
228,20313883,199900,2,70,1,1,0,3,3,536,0,3,6,2,0,90459,1205.0,3323,0.02857142857142857
229,20313882,215000,2,93,1,1,0,2,2,615,0,3,3,0,0,98189,1000.0,2577,0.021505376344086023
230,20313881,210000,2,93,1,1,0,2,2,615,0,3,3,0,0,98189,1000.0,2577,0.021505376344086023
231,20313880,349000,3,114,0,1,1,1,3,447,0,7,5,0,0,52323,950.0,2888,0.02631578947368421
232,20313878,309000,4,147,1,1,0,2,3,597,1,0,0,0,0,62123,950.0,2546,0.027210884353741496
233,20313877,329000,3,89,0,1,0,1,2,118,0,3,0,0,0,62123,950.0,2546,0.033707865168539325
234,20313875,649000,3,315,0,1,0,2,3,583,1,0,3,0,0,98189,1000.0,2577,0.009523809523809525
235,20313873,150000,2,80,1,1,0,1,2,628,0,3,1,1,0,36940,759.0,1618,0.025
236,20313871,145000,2,97,0,0,0,2,3,643,1,0,1,1,0,36940,759.0,1618,0.020618556701030927
237,20313868,575000,5,392,0,1,0,5,4,366,1,1,10,1,0,34715,759.0,1949,0.012755102040816327
238,20313864,395000,2,95,1,1,0,1,2,234,0,3,6,2,0,90459,1205.0,3323,0.021052631578947368
239,20313863,289000,3,165,1,1,1,1,3,254,1,0,1,1,0,36940,759.0,1618,0.01818181818181818
240,20313861,250000,3,230,1,1,0,4,4,50,1,0,9,1,0,21155,1013.0,2729,0.013043478260869565
241,20313826,239000,2,69,1,1,0,1,0,234,0,3,6,2,0,90459,1205.0,3323,0.028985507246376812
242,20313728,265000,1,65,0,1,0,1,2,44,0,3,3,0,0,98189,1000.0,2577,0.015384615384615385
243,20313723,450000,3,123,0,1,0,3,3,400,1,0,0,0,0,62123,950.0,2546,0.024390243902439025
244,20313722,169000,2,70,0,1,0,1,0,358,0,3,0,0,0,62123,950.0,2546,0.02857142857142857
245,20313685,239000,2,100,0,1,0,3,0,330,0,3,3,0,0,98189,1000.0,2577,0.02
246,20313671,859000,4,232,1,1,0,2,2,44,0,3,3,0,0,98189,1000.0,2577,0.017241379310344827
247,20313670,285000,4,143,1,1,0,1,3,319,1,2,8,1,0,14697,759.0,2084,0.027972027972027972
248,20313669,349000,1,64,1,1,0,1,0,44,0,3,3,0,0,98189,1000.0,2577,0.015625
