,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded
384,20312761,299000,3,205,1,0,0,1,3,71,1,2,7,1
385,20312760,399000,4,222,1,1,0,5,2,54,1,0,7,1
386,20312759,795000,4,296,1,0,0,1,4,54,1,0,7,1
387,20312758,395000,3,229,1,0,0,1,4,71,1,0,7,1
388,20312757,295000,3,182,1,0,0,1,2,638,1,0,7,1
389,20312756,800000,5,271,1,0,0,2,4,54,1,0,7,1
390,20312755,720000,4,231,1,0,0,1,4,71,1,0,7,1
391,20312754,270000,3,109,1,0,0,5,3,68,1,0,7,1
392,20312753,675000,4,217,1,0,0,2,3,361,1,0,7,1
393,20312752,675000,4,217,1,0,0,2,3,54,1,0,7,1
394,20312751,360000,2,152,1,0,0,1,3,71,1,0,7,1
395,20312749,299000,3,205,1,0,0,1,3,71,1,0,7,1
396,20312748,800000,5,271,1,0,0,2,4,361,1,0,7,1
397,20312746,410000,3,167,1,1,0,1,4,69,1,0,7,1
398,20312745,775000,5,191,1,1,1,1,4,490,1,0,7,1
399,20312744,990000,5,482,1,0,0,1,4,54,1,0,7,1
400,20312743,845000,3,476,1,1,1,1,4,262,1,0,7,1
401,20312742,310000,5,123,0,0,1,1,0,142,1,0,10,1
402,20312739,875000,5,310,1,1,1,3,2,743,1,0,6,2
403,20312736,85000,5,167,1,0,0,1,3,155,0,10,1,1
404,20312735,198000,4,109,0,1,1,5,4,500,0,10,3,0
405,20312732,795000,4,380,1,1,1,3,3,38,1,0,7,1
406,20312725,129000,3,160,1,0,0,4,3,707,1,0,1,1
407,20312718,345000,3,175,0,1,0,1,0,556,1,0,5,0
408,20312715,495000,3,144,1,1,0,1,0,772,0,3,6,2
409,20312714,595000,3,130,1,1,0,1,2,346,0,3,6,2
410,20312713,449000,3,180,1,1,1,2,3,250,1,0,10,1
